name_E,H3k4me2_E
chr1_1014834_1015095,6.293618
chr1_1093610_1093958,8.879799
chr1_1143531_1144198,7.632505
chr1_1173386_1173736,4.410386
chr1_1295535_1296332,7.3740115
chr1_1714020_1714715,5.104521
chr1_1840449_1840835,7.758843000000001
chr1_2140151_2140337,6.09577
chr1_2162325_2162996,9.427316000000001
chr1_2478276_2478817,11.801871
chr1_2574343_2574764,6.179778
chr1_3229711_3230157,5.476353
chr1_3420761_3421065,2.9845599999999997
chr1_3421438_3421558,2.9845599999999997
chr1_3459907_3460197,6.654686
chr1_3463934_3464260,7.614485
chr1_3817648_3818071,8.542698
chr1_6053603_6054107,10.413929
chr1_6054896_6055025,10.413929
chr1_6088225_6088518,9.716921000000001
chr1_6221566_6221669,1.286246
chr1_6661008_6661639,10.566284
chr1_7327634_7328033,6.530525
chr1_7359415_7359679,7.055617
chr1_7461964_7462325,6.8973759999999995
chr1_7531062_7531540,7.083564999999999
chr1_858256_858648,3.7938410000000005
chr1_941791_942135,6.427314
chr1_956563_956812,8.935166
