name_P,Ctcf_P
chr1_1284630_1285730,16.6830025
chr1_1297057_1298157,8.693301
chr1_1333902_1335002,22.056663
chr1_1334608_1335708,22.056663
chr1_1342593_1343693,13.18169
chr1_1509355_1510455,14.370864000000001
chr1_1980909_1982009,28.484407
chr1_2143913_2145013,17.1823365
chr1_2144059_2145159,17.1823365
chr1_2345136_2346236,25.471995
chr1_2486078_2487178,14.955010999999999
chr1_3369990_3371090,24.053213
chr1_713150_714250,4.794244
chr1_713906_715006,4.794244
chr1_839214_840314,34.337938
chr1_856296_857396,8.208814
chr1_954503_955603,15.038634
chr1_998568_999668,20.551051
