name_P,Smc3_P
chr1_1051641_1052741,5.373854795350421
chr1_1166629_1167729,7.1252838185753955
chr1_1167311_1168411,4.10575839761508
chr1_1209165_1210265,5.5874860829991
chr1_1209603_1210703,5.94367942469672
chr1_1242947_1244047,5.162519971542
chr1_1244889_1245989,4.40224916720253
chr1_1253969_1255069,4.42447519844135
chr1_1259136_1260236,8.94950142706578
chr1_1284630_1285730,16.6270850902863
chr1_1297057_1298157,24.4188773600181
chr1_1310775_1311875,3.4531299210567146
chr1_1333902_1335002,10.548400562372901
chr1_1334608_1335708,8.95801825776254
chr1_1341032_1342132,3.9072640004540404
chr1_1342593_1343693,14.4519354180968
chr1_1369241_1370341,3.02594402396351
chr1_1369853_1370953,5.15999643692425
chr1_1406143_1407243,5.47620440352561
chr1_1446531_1447631,4.17167866406107
chr1_1509355_1510455,8.01598572789131
chr1_1510149_1511249,8.439946414782971
chr1_1549795_1550895,7.766896383278469
chr1_1551075_1552175,4.307895305273355
chr1_1711796_1712896,2.9863278072138195
chr1_1821910_1823010,6.26411975669756
chr1_1822395_1823495,6.37753533069166
chr1_1845266_1846366,4.0905897891649
chr1_1850612_1851712,6.31056104942466
chr1_1949780_1950880,2.99282372843961
chr1_2120237_2121337,4.22999675302255
chr1_2143913_2145013,6.465160108595059
chr1_2144059_2145159,6.465160108595059
chr1_2145520_2146620,8.963879043174712
chr1_2159134_2160234,3.97467006223556
chr1_2306692_2307792,4.34289473755854
chr1_2322267_2323367,4.576239289447296
chr1_2323046_2324146,4.6809984840536
chr1_2345136_2346236,87.7727155350767
chr1_2457939_2459039,7.39290223099774
chr1_2461584_2462684,3.5308575446100496
chr1_2486078_2487178,6.805393977066459
chr1_2516930_2518030,8.77153146770463
chr1_2978859_2979959,3.3122156634948303
chr1_3369990_3371090,8.12862944755316
chr1_3540566_3541666,4.616863166133404
chr1_3541207_3542307,8.980143289903241
chr1_713150_714250,8.38596940712896
chr1_713906_715006,8.38596940712896
chr1_839214_840314,58.2547603580709
chr1_845815_846915,3.1772220754384204
chr1_856296_857396,27.138777486215897
chr1_894589_895689,6.8475746068835
chr1_894967_896067,5.857569516554499
chr1_935452_936552,5.93927565232246
chr1_947803_948903,5.284074916094925
chr1_948473_949573,5.284074916094925
chr1_954503_955603,5.4752605199132205
chr1_994114_995214,3.8893450281375297
chr1_998568_999668,17.211562569375282
