name_P,Ctcf_P
chr1_1244889_1245989,10.09511
chr1_1284630_1285730,18.578444
chr1_1310775_1311875,13.224658999999999
chr1_1333902_1335002,6.7244850000000005
chr1_1334608_1335708,6.7244850000000005
chr1_1342593_1343693,14.780176
chr1_1509355_1510455,21.478294
chr1_1549795_1550895,1.7283580000000003
chr1_1551075_1552175,1.7283580000000003
chr1_1589786_1590886,12.833554
chr1_1590373_1591473,15.887252
chr1_1624067_1625167,14.044266
chr1_1654951_1656051,10.924845
chr1_1655666_1656766,13.883374499999999
chr1_1980909_1982009,29.098471999999997
chr1_1981409_1982509,29.098471999999997
chr1_2142962_2144062,22.85228
chr1_2143913_2145013,22.85228
chr1_2144059_2145159,22.85228
chr1_2159134_2160234,1.797538
chr1_2345136_2346236,41.312646
chr1_2461584_2462684,14.932170999999999
chr1_2486078_2487178,19.670579
chr1_2488370_2489470,5.965654
chr1_3369990_3371090,34.8157545
chr1_3541207_3542307,13.291895000000002
chr1_522009_523109,6.083851999999999
chr1_567137_568237,16.152176
chr1_568756_569856,14.314348
chr1_713150_714250,14.731145000000001
chr1_713906_715006,14.731145000000001
chr1_761988_763088,10.253747
chr1_839214_840314,17.2897895
chr1_848551_849651,18.171198
chr1_856296_857396,6.866810000000001
chr1_866345_867445,9.689419000000001
chr1_947803_948903,5.591424
chr1_948473_949573,5.591424
chr1_954503_955603,15.507210999999998
chr1_994114_995214,5.293742
chr1_998568_999668,29.776165999999996
