name_E,Ctcf_E
chr10_3028046_3028193,12.224912
chr10_3497590_3497951,1.631329
chr10_3507725_3507898,1.631329
chr10_3509617_3509911,9.007956
chr10_3510310_3510716,1.631329
chr10_3511181_3511689,1.631329
chr10_3528683_3528786,10.264978
chr10_4386754_4387085,1.6798669999999998
chr10_4396174_4396330,1.6798669999999998
chr10_4891874_4892173,69.079449
chr10_5336164_5336286,21.822549
chr10_556579_556951,25.155860999999998
chr10_557102_557353,25.155860999999998
chr1_100113534_100114036,21.922164000000002
chr1_101774729_101775525,36.923001
chr1_10269964_10270260,21.505767000000002
chr1_109104473_109104583,25.675717000000002
chr1_10927237_10927380,9.4843175
chr1_110334849_110335164,18.034755999999998
chr1_11050864_11051128,1.540874
chr1_110672728_110673048,14.490166
chr1_110976504_110976901,13.585845
chr1_112058803_112059167,15.907532999999999
chr1_112901525_112901779,34.046824
chr1_115873164_115873576,14.437089000000002
chr1_117421623_117422020,16.388047
chr1_142538903_142539547,11.262216
chr1_144533627_144534178,5.8048470000000005
chr1_145023690_145024549,18.010626000000002
chr1_145042783_145043227,14.023692
chr1_145058996_145059322,17.809967
chr1_145113904_145114998,10.454444
chr1_145437595_145437817,2.0752610000000002
chr1_148000699_148000802,13.426492999999999
chr1_150592182_150592667,18.374477
chr1_152006910_152007460,26.313637
chr1_152007615_152008057,26.313637
chr1_153366487_153366797,3.789736
chr1_153541018_153541368,41.268282
chr1_154910155_154910399,14.167237
chr1_156066868_156067143,29.070128000000004
chr1_156089405_156089622,5.53631
chr1_15649550_15649749,2.599185
chr1_156629760_156630406,44.512729
chr1_158942717_158942925,18.999209
chr1_159798443_159799254,15.720385999999998
chr1_159851477_159851987,2.019289
chr1_160989381_160990254,2.083499
chr1_161352257_161352597,25.614835
chr1_161706477_161706712,2.380316
chr1_161709776_161710006,2.380316
chr1_167766380_167766616,8.745544
chr1_171712214_171712716,7.489069499999999
chr1_172291507_172291926,1.356625
chr1_172324588_172324814,1.356625
chr1_172327070_172327187,1.356625
chr1_172327558_172328156,1.356625
chr1_172369341_172369683,1.356625
chr1_172606833_172606931,1.356625
chr1_172630377_172630501,1.356625
chr1_172631926_172632270,1.356625
chr1_172666682_172666997,1.356625
chr1_172667452_172667583,1.356625
chr1_172673235_172673367,1.356625
chr1_172715484_172715760,1.356625
chr1_172727569_172727695,1.356625
chr1_172735732_172735977,1.356625
chr1_172788027_172788361,1.356625
chr1_172790579_172790978,1.356625
chr1_172804293_172804464,1.356625
chr1_172814602_172814764,1.356625
chr1_172820425_172820587,1.356625
chr1_172828423_172828792,1.356625
