name_E,H3k79me2_E,Rad21_E,Ctcf_E,Pol2_E,H3k36me3_E,H4k20me1_E,H3k4me1_E,H3k9ac_E,DNaseI_E,Smc3_E,H3k27ac_E,H3k4me2_E,H3k27me3_E,H3k4me3_E
chr10_1100843_1101035,2.40611,0.0,0.0,0.0,3.04134,0.0,4.27223,0.0,0.0,2.99481623473503,0.0,3.50883,0.0,0.0
chr10_3497590_3497951,2.90821,0.0,0.0,0.0,0.0,0.0,2.22405,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr10_3507725_3507898,3.00955,0.0,0.0,0.0,3.50397,0.0,2.31311,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr10_3524547_3524820,2.67084,3.02803,0.0,0.0,0.0,2.61758,2.93407,2.84571,6.67127,12.651745278467601,2.63186,5.47812,0.0,4.31027
chr10_3542742_3543014,3.3397900000000003,1.92352,0.0,0.0,0.0,2.84866,6.26881,5.87469,8.42866,0.0,7.053160000000001,8.214789999999999,0.0,3.85869
chr10_3690587_3690963,2.89526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr10_3850308_3850795,2.34371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr10_3929991_3930887,2.8259,5.451980000000002,0.0,7.37942,0.0,0.0,2.50211,3.55076,4.52003,24.1101715811377,2.96622,3.22481,0.0,0.0
chr10_3938329_3938538,2.72611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr10_3984866_3985563,2.42095,0.0,0.0,2.08516,0.0,0.0,3.64511,5.64519,5.91055,6.94861216278371,4.85384,5.31072,0.0,0.0
chr10_3985648_3985956,2.42095,0.0,0.0,0.0,0.0,0.0,3.64511,0.0,0.0,0.0,4.85384,0.0,0.0,0.0
chr10_4173688_4174411,4.92178,0.0,0.0,0.0,0.0,0.0,7.039860000000001,6.8083800000000005,6.24434,10.4846736386065,5.3077,6.08741,0.0,0.0
chr10_652657_652929,1.84704,3.09532,0.0,2.49061,2.71096,0.0,0.0,0.0,4.7778800000000015,0.0,0.0,0.0,0.0,0.0
chr1_100820585_100820838,2.78558,0.0,0.0,0.0,0.0,3.20462,3.07194,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_100828525_100828922,2.6743,0.0,0.0,0.0,3.49207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_100859593_100859940,2.8903,0.0,0.0,0.0,2.9797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_10585199_10585569,2.41798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_108695322_108695861,2.55142,0.0,0.0,0.0,2.78333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
