name_P,Ctcf_P
chr1_1284630_1285730,14.2518445
chr1_1310775_1311875,12.420763
chr1_1333902_1335002,18.235166
chr1_1334608_1335708,18.235166
chr1_1342593_1343693,4.316744
chr1_1343476_1344576,4.316744
chr1_1446531_1447631,3.5234449999999997
chr1_1509355_1510455,7.8427690000000005
chr1_1549795_1550895,12.213479
chr1_1589786_1590886,10.231186
chr1_1590373_1591473,11.184402500000001
chr1_1654951_1656051,9.208067999999999
chr1_1655666_1656766,10.7921965
chr1_1980909_1982009,8.044219
chr1_2143913_2145013,10.214909
chr1_2144059_2145159,10.214909
chr1_2345136_2346236,32.603559999999995
chr1_2476904_2478004,4.610386
chr1_2486078_2487178,32.569276
chr1_2488370_2489470,10.208281
chr1_2516930_2518030,10.737124
chr1_2718186_2719286,11.942067999999999
chr1_3369990_3371090,20.190305
chr1_3540566_3541666,3.548511
chr1_3541207_3542307,3.548511
chr1_3585236_3586336,1.986247
chr1_567137_568237,12.620595
chr1_568756_569856,10.438871
chr1_713150_714250,11.005144
chr1_713906_715006,11.005144
chr1_839214_840314,25.116984
chr1_856296_857396,3.9764809999999997
chr1_954503_955603,15.538442000000002
chr1_994114_995214,8.688305999999999
chr1_998568_999668,36.600304
