name_E,DNaseI_E
chr1_1005293_1005547,3.20891
chr1_1014834_1015095,6.79295
chr1_1136667_1137146,7.49061
chr1_1143531_1144198,5.69348
chr1_1173386_1173736,2.65583
chr1_1295535_1296332,3.94193
chr1_1714020_1714715,3.3802300000000005
chr1_1772108_1772256,2.3353900000000003
chr1_1793829_1793862,2.3713
chr1_1814762_1815124,2.7643
chr1_1840449_1840835,8.480360000000001
chr1_2082729_2083012,2.57825
chr1_2171824_2171946,2.99055
chr1_2172142_2172385,2.99055
chr1_2177615_2177829,6.73185
chr1_2221868_2222548,8.30914
chr1_2231691_2232185,3.5571099999999998
chr1_2232428_2232896,3.5571099999999998
chr1_2246556_2246763,2.8417
chr1_2253622_2253773,7.7732
chr1_2254081_2254230,7.7732
chr1_2478276_2478817,4.22232
chr1_2574343_2574764,6.72695
chr1_3229711_3230157,4.80018
chr1_3231556_3231634,4.80018
chr1_3237165_3237518,3.7435699999999996
chr1_3309990_3310261,2.84357
chr1_3420761_3421065,8.5532
chr1_3459907_3460197,6.13206
chr1_3634737_3634863,2.66967
chr1_3817648_3818071,6.21202
chr1_4729528_4729775,2.3353900000000003
chr1_6088225_6088518,2.8778099999999998
chr1_6336471_6336830,6.44278
chr1_6661008_6661639,4.69623
chr1_7289758_7290075,6.88197
chr1_7313313_7313451,4.11266
chr1_7327634_7328033,6.619280000000001
chr1_7359415_7359679,3.8862699999999997
chr1_7461964_7462325,9.81212
chr1_7531062_7531540,5.232069999999999
chr1_7538871_7539273,7.94026
chr1_7551468_7551846,4.62057
chr1_956563_956812,4.073259999999999
