name_E,Rad21_E
chr1_1014834_1015095,2.64149
chr1_1143531_1144198,2.79389
chr1_1840449_1840835,7.74839
chr1_2162325_2162996,2.60102
chr1_2177615_2177829,2.38263
chr1_2221868_2222548,2.8860099999999997
chr1_2232428_2232896,2.08017
chr1_2246556_2246763,3.17805
chr1_2253622_2253773,3.3815699999999995
chr1_2254081_2254230,3.3815699999999995
chr1_2478276_2478817,4.79431
chr1_2509702_2510198,8.4748
chr1_2574343_2574764,1.9265700000000001
chr1_3229711_3230157,2.55496
chr1_3231556_3231634,2.72404
chr1_3459907_3460197,2.0754599999999996
chr1_6336471_6336830,2.77357
chr1_6661008_6661639,2.66351
chr1_7313313_7313451,2.59432
chr1_7327634_7328033,3.02671
chr1_7359415_7359679,2.91284
chr1_7461964_7462325,5.43877
chr1_7531062_7531540,2.17923
chr1_7538871_7539273,2.29831
