name_E,H3k9ac_E,H3k79me2_E,H3k4me2_E,H3k4me3_E,DNaseI_E,H3k4me1_E,Pol2_E,H3k36me3_E,H3k27ac_E,H3k27me3_E,Ctcf_E,H4k20me1_E
chr10_1100843_1101035,18.784082,6.484974,14.655866,10.688691,46.0,12.058415,4.432014,4.577595,16.659411,0.0,0.0,2.139439
chr10_2256285_2256680,10.917282,0.0,7.415099,5.97515,26.0,5.833033,0.0,0.0,19.687202,0.0,0.0,0.0
chr10_3028046_3028193,5.348328,0.0,11.095732,8.923475999999997,37.0,6.467027,0.0,0.0,8.582975,0.0,19.415553,0.0
chr10_3133662_3133717,7.437942,6.186918,13.603983,8.984312,0.0,10.376675,2.801144,5.509258999999999,20.279629,0.0,0.0,2.602042
chr10_3137708_3138098,8.982133000000001,6.186918,15.910465,8.230134,58.5,10.376675,2.801144,5.509258999999999,20.279629,0.0,0.0,0.0
chr10_3145163_3145536,4.64433,6.186918,0.0,0.0,0.0,0.0,2.801144,5.509258999999999,0.0,0.0,0.0,0.0
chr10_3497590_3497951,7.356603999999999,0.0,9.387009,5.920986,49.0,10.302267,14.364717,0.0,20.319718,0.0,15.449731,0.0
chr10_3507725_3507898,16.939889,0.0,15.876721,6.914646,9.0,9.72121,3.223102,0.0,52.153147,0.0,0.0,0.0
chr10_3509617_3509911,16.939889,0.0,15.876721,6.914646,145.5,9.72121,5.6567275000000015,0.0,52.153147,0.0,31.258849,0.0
chr10_3510310_3510716,16.939889,0.0,15.876721,6.914646,37.0,9.72121,5.6567275000000015,0.0,52.153147,0.0,31.258849,0.0
chr10_3511181_3511689,16.939889,0.0,15.876721,6.914646,26.5,9.72121,5.6567275000000015,0.0,52.153147,0.0,0.0,0.0
chr10_3524547_3524820,10.897886,0.0,14.432126,6.589528,42.0,8.807663,6.8057905000000005,0.0,11.096286,0.0,0.0,0.0
chr10_3526849_3527147,8.578297000000001,0.0,7.687452,0.0,0.0,8.807663,3.223102,0.0,11.096286,0.0,0.0,0.0
chr10_3528683_3528786,11.408157,0.0,12.408644,0.0,63.0,8.807663,6.597336,0.0,11.096286,0.0,17.294114,0.0
