name_P,H3k27ac_P
chr1_1051641_1052741,3.180417
chr1_1149418_1150518,1.813305
chr1_1166629_1167729,13.106978
chr1_1167311_1168411,13.106978
chr1_1209165_1210265,15.786864000000001
chr1_1209603_1210703,15.786864000000001
chr1_1242947_1244047,10.5331235
chr1_1259136_1260236,8.293345
chr1_1259971_1261071,8.293345
chr1_1284630_1285730,5.126379
chr1_1310775_1311875,11.941388
chr1_1333902_1335002,8.443188000000001
chr1_1334608_1335708,8.443188000000001
chr1_1341032_1342132,9.921762
chr1_1342593_1343693,9.921762
chr1_1343476_1344576,9.921762
chr1_1406143_1407243,6.789086999999999
chr1_1446531_1447631,18.964918
chr1_1475733_1476833,9.98977
chr1_1509355_1510455,28.637201
chr1_1510149_1511249,28.637201
chr1_1549795_1550895,31.909778000000003
chr1_1551075_1552175,31.909778000000003
chr1_1589786_1590886,30.804252
chr1_1590373_1591473,21.5981905
chr1_1624067_1625167,12.635709
chr1_1654951_1656051,10.413135
chr1_1655666_1656766,10.413135
chr1_1677331_1678431,16.029298999999998
chr1_1821910_1823010,11.262744999999999
chr1_1822395_1823495,11.262744999999999
chr1_2120237_2121337,10.539631
chr1_2142962_2144062,47.248141
chr1_2143913_2145013,47.248141
chr1_2144059_2145159,47.248141
chr1_2145520_2146620,47.248141
chr1_2159134_2160234,14.030707000000001
chr1_2322267_2323367,13.091972
chr1_2323046_2324146,13.091972
chr1_2345136_2346236,6.694882000000001
chr1_2457939_2459039,7.815966
chr1_2476904_2478004,8.079839
chr1_2486078_2487178,8.618652
chr1_2488370_2489470,8.618652
chr1_2511999_2513099,9.673910000000001
chr1_2516930_2518030,14.317158500000001
chr1_3540566_3541666,9.292476
chr1_3541207_3542307,8.989782666666668
chr1_713150_714250,9.763957000000001
chr1_713906_715006,9.763957000000001
chr1_761988_763088,14.047935
chr1_762802_763902,14.047935
chr1_894589_895689,10.250465
chr1_900877_901977,10.817896000000001
chr1_933331_934431,13.031217999999999
chr1_935452_936552,13.031217999999999
chr1_947803_948903,14.968734
chr1_948473_949573,14.968734
chr1_954503_955603,3.143
chr1_998568_999668,8.737654
