name_E,H3k27ac_E,H3k4me2_E,Ctcf_E,H4k20me1_E,DNaseI_E,H3k9ac_E,Smc3_E,H3k4me3_E,H3k36me3_E,H3k27me3_E,H3k79me2_E,H3k4me1_E
chr10_1100843_1101035,16.700073,7.628777,1.100408,1.94726,0.0,19.929997,0.0,6.9624820000000005,4.092987,0.0,18.642506,3.886486
chr10_3137708_3138098,12.308108,12.550196,0.0,1.530821,0.0857,0.0,0.0,5.8016915000000004,4.837559,0.0,8.541732000000001,5.6364730000000005
chr10_3510310_3510716,4.367523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.135167
chr10_3511181_3511689,4.367523,0.0,0.0,0.0,0.0,0.0,0.0,2.3747990000000003,0.0,0.0,0.0,7.7475070000000015
chr10_3524547_3524820,16.801979,0.0,0.0,0.0,0.0298,0.0,0.0,6.570664999999999,0.0,0.0,0.0,8.031247
chr10_3526849_3527147,16.801979,20.596502,4.182188,0.0,0.0678,9.783407,0.0,6.570664999999999,0.0,0.0,3.269939,8.031247
chr10_3528683_3528786,16.801979,0.0,0.0,0.0,0.0,9.783407,0.0,6.570664999999999,0.0,0.0,0.0,8.031247
chr10_3800307_3800531,17.447609,10.037457,1.797279,0.0,0.0618,10.148774,2.92277,4.512937,0.0,0.0,0.0,8.341349000000001
chr10_3807382_3807563,6.240165,16.244056,0.0,0.0,0.0,5.6067730000000005,0.0,5.477088,0.0,0.0,0.0,7.1812619999999985
chr10_3845250_3845852,15.481668,11.25232,0.0,0.0,0.0,9.53775,0.0,5.041569,0.0,1.157315,0.0,9.362842
chr10_3845999_3846426,15.481668,11.25232,0.0,0.0,0.0,9.53775,0.0,5.041569,0.0,1.157315,3.108588,9.362842
chr10_3846443_3847038,15.481668,11.25232,0.0,0.0,0.0,9.53775,4.16977,5.041569,0.0,1.157315,3.108588,9.362842
chr10_3848037_3849536,15.481668,11.25232,0.0,0.0,0.0254,9.53775,2.12376,5.041569,0.0,1.157315,3.108588,9.362842
chr10_3850308_3850795,27.902356,0.0,0.0,0.0,0.0,0.0,0.0,5.167758,0.0,1.157315,0.0,9.362842
chr10_3852273_3852886,27.902356,11.998412,0.0,0.0,0.033,9.316285,3.01812,5.167758,0.0,1.157315,0.0,9.362842
chr10_3853393_3854169,27.902356,11.998412,0.0,0.0,0.049,9.316285,5.22368,5.167758,0.0,1.157315,8.162099000000001,9.362842
chr10_3870489_3871262,10.776941,14.217723333333335,0.0,0.0,0.0351,0.0,2.57556,5.6437285,0.0,1.157315,0.0,6.1038595
chr10_3878027_3878387,14.767326999999998,16.61006,0.0,0.0,0.0325,7.2085149999999985,0.0,6.210095,0.0,1.157315,0.0,6.255324000000001
chr10_3893365_3894190,21.895513,9.626787,0.0,0.0,0.0346,7.672239999999999,1.91535,4.93567,0.0,1.157315,0.0,6.755114
chr10_3908597_3908886,10.226687,7.4176199999999985,0.0,0.0,0.0,0.0,0.0,5.845566000000002,0.0,1.157315,0.0,5.686843
chr10_3911352_3911510,3.824319,7.431601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.157315,0.0,5.686843
chr10_3917358_3918120,21.685767,21.282699,0.0,0.0,0.0427,6.440869,3.39081,7.775975499999999,0.0,1.157315,3.7332325,7.814103
chr10_3928866_3929216,9.262843,9.044012,0.0,0.0,0.0,0.0,3.91776,2.805056,0.0,1.157315,0.0,5.448086
chr10_3929991_3930887,11.4872155,9.044012,11.77471,0.0,0.0577,6.0385300000000015,3.77265,2.805056,0.0,1.157315,0.0,5.448086
chr10_3944367_3944901,13.502995,7.294065,9.411318,0.0,0.0942,10.6672045,2.56001,3.368982,0.0,1.157315,0.0,6.810239
chr10_4173688_4174411,9.267509,5.431207,0.0,0.0,0.0513,6.39605,2.24908,4.697408,0.0,1.157315,0.0,6.3875730000000015
