name_E,DNaseI_E
chr10_1541138_1541906,0.0369
chr10_2256285_2256680,0.0476
chr10_3028046_3028193,0.1178
chr10_3133662_3133717,0.0538
chr10_3137708_3138098,0.0809
chr10_3509617_3509911,0.0477
chr10_3511181_3511689,0.0415
chr10_3524547_3524820,0.0756
chr10_3528683_3528786,0.0465
chr10_3568141_3568290,0.1531
chr10_3598970_3599136,0.0326
chr10_3710838_3711066,0.0919
chr10_3762746_3763172,0.0573
chr10_3782727_3783283,0.0383
chr10_3797195_3797502,0.0361
chr10_3867491_3867713,0.0537
chr10_4173688_4174411,0.0296
chr10_4386754_4387085,0.068
chr10_4396174_4396330,0.023
chr10_4705159_4705783,0.0822
chr10_4813646_4813900,0.0383
chr10_4855217_4855416,0.0241
chr10_4891874_4892173,0.0588
chr10_4989909_4990226,0.057
chr10_500969_501047,0.0291
chr10_5113786_5114179,0.0475
chr10_5333644_5334212,0.0763
chr10_5359534_5359986,0.0569
chr10_556579_556951,0.1385
chr10_557102_557353,0.1385
chr10_5577499_5577735,0.0376
chr10_5587810_5588190,0.065
chr10_5588881_5589169,0.1304
chr10_5590010_5590295,0.1276
chr10_5590959_5591270,0.1276
chr10_5596279_5596669,0.0285
chr10_5638863_5639270,0.0379
chr10_990446_990769,0.026
chr1_100000188_100000393,0.0431
chr1_100138206_100138591,0.0394
chr1_100678369_100678762,0.0261
chr1_100820585_100820838,0.0325
chr1_101313094_101313246,0.0247
chr1_1014834_1015095,0.2322
chr1_101725356_101725679,0.024
chr1_101774729_101775525,0.0451
chr1_10269964_10270260,0.1138
chr1_1060905_1061095,0.0448
chr1_10695291_10695734,0.1191
chr1_10700424_10700580,0.0397
chr1_10813352_10813797,0.0296
chr1_10816030_10816223,0.0817
chr1_108479405_108480123,0.0799
chr1_108650339_108650754,0.0254
chr1_108661190_108661332,0.0264
chr1_108741685_108742156,0.0919
chr1_109104473_109104583,0.0375
chr1_109127044_109127234,0.0231
chr1_109133637_109134097,0.0318
chr1_109189516_109189718,0.0328
chr1_109262615_109262764,0.0618
chr1_10927237_10927380,0.1095
chr1_1093610_1093958,0.3138
chr1_10960432_10960567,0.0876
chr1_109800134_109800539,0.025
chr1_109981518_109981703,0.0283
chr1_110160052_110160461,0.0411
chr1_110334849_110335164,0.0562
chr1_110339466_110339959,0.0258
chr1_110363861_110364229,0.0857
chr1_110364881_110365302,0.0654
chr1_110366477_110366702,0.0234
chr1_110420039_110420145,0.1236
chr1_110444415_110444738,0.0985
chr1_110694968_110695154,0.0283
chr1_110879130_110879445,0.032
chr1_110963862_110964269,0.0421
chr1_110976504_110976901,0.1273
chr1_112050044_112050594,0.105
chr1_112135698_112135869,0.1296
chr1_112163412_112163797,0.2398
chr1_112438367_112438956,0.029
chr1_112901525_112901779,0.071
chr1_113086746_113087141,0.0685
chr1_1136075_1136463,0.0326
chr1_113734243_113734639,0.0257
chr1_1143531_1144198,0.3116
chr1_114575620_114575801,0.0577
chr1_114656563_114656717,0.024
chr1_114665635_114666029,0.0237
chr1_114997819_114998047,0.0226
chr1_115605190_115605611,0.1164
chr1_115722074_115722498,0.1003
chr1_115732772_115733197,0.0729
chr1_115873164_115873576,0.0228
chr1_115968975_115969167,0.0477
chr1_116039640_116039989,0.0811
chr1_116088478_116088732,0.1525
chr1_116221756_116221883,0.0377
chr1_116520279_116520650,0.0718
chr1_116918925_116919548,0.0289
chr1_116920378_116921129,0.0503
chr1_117030831_117031034,0.0261
chr1_117032033_117032296,0.03
chr1_117047053_117047428,0.0466
chr1_117051576_117051921,0.0789
chr1_117080047_117080432,0.0476
chr1_117081238_117081452,0.0462
chr1_117112460_117112738,0.0882
chr1_117129425_117129671,0.0276
chr1_117132073_117132239,0.0883
chr1_1173386_1173736,0.1232
chr1_11753086_11753651,0.192
chr1_118176414_118176771,0.0294
chr1_118197244_118197521,0.0543
chr1_118197868_118198044,0.0543
chr1_11942925_11943217,0.0395
chr1_11968510_11969143,0.0507
chr1_11990003_11990329,0.0536
chr1_120255895_120256325,0.0384
chr1_12112067_12112502,0.2098
chr1_12124472_12125118,0.0227
chr1_12127865_12128182,0.0372
chr1_12193120_12193399,0.0754
chr1_12221931_12222397,0.1661
chr1_12225396_12225718,0.025
chr1_12227833_12229578,0.0261
chr1_12237719_12238747,0.0326
chr1_12240401_12240902,0.0282
chr1_12243852_12244671,0.0259
chr1_12579035_12579403,0.0309
chr1_12599928_12600179,0.1454
chr1_12600525_12600853,0.1454
chr1_12609717_12610039,0.127
chr1_12616547_12616769,0.0256
chr1_1295535_1296332,0.0525
chr1_1368471_1368786,0.0449
chr1_13825180_13825414,0.0244
chr1_144533627_144534178,0.0351
chr1_145058996_145059322,0.056
chr1_145092450_145092883,0.0258
chr1_145113904_145114998,0.0529
chr1_145455122_145455741,0.0661
chr1_147806841_147807184,0.0652
chr1_149215297_149215704,0.0731
chr1_149981648_149981889,0.0371
chr1_150159099_150159241,0.0264
chr1_150185878_150186128,0.17
chr1_150577042_150577503,0.0505
chr1_150585815_150586394,0.05
chr1_150592182_150592667,0.057
chr1_150949569_150950014,0.1258
chr1_151172620_151173197,0.0317
chr1_151284018_151284391,0.1982
chr1_151809390_151809745,0.124
chr1_151916920_151917624,0.0338
chr1_151918898_151919222,0.0328
chr1_151960875_151961433,0.0466
chr1_151961675_151962369,0.0286
chr1_152006910_152007460,0.0476
chr1_152007615_152008057,0.0328
chr1_153337774_153338142,0.0468
chr1_153358841_153359368,0.025
chr1_153366487_153366797,0.0329
chr1_153488459_153488748,0.0834
chr1_153541018_153541368,0.0925
chr1_153583449_153583810,0.048
chr1_153670755_153671012,0.048
chr1_153936554_153936861,0.0624
chr1_154154606_154155027,0.1448
chr1_15416988_15417263,0.0485
chr1_154299137_154299452,0.069
chr1_154391539_154392211,0.0627
chr1_154392646_154393050,0.0627
chr1_154397743_154397997,0.0556
chr1_154404273_154404562,0.0535
chr1_154910155_154910399,0.1045
chr1_154972628_154972915,0.1255
chr1_154973036_154973200,0.1255
chr1_154973335_154973935,0.1255
chr1_155098409_155098801,0.0372
chr1_15587144_15587415,0.0248
chr1_155945743_155946196,0.0599
chr1_155946363_155946660,0.0438
chr1_156073142_156073699,0.0277
chr1_156073854_156074351,0.0588
chr1_156074715_156075305,0.0299
chr1_156095033_156095181,0.0261
chr1_156134935_156135401,0.0365
chr1_156426931_156427503,0.2199
chr1_156468556_156468776,0.0303
chr1_156472693_156472952,0.0297
chr1_156473111_156473378,0.0463
chr1_156474686_156475018,0.0906
chr1_156541089_156541488,0.2126
chr1_156586355_156586564,0.0448
chr1_156629760_156630406,0.3885
chr1_156634807_156635020,0.0311
chr1_15664307_15664455,0.0814
chr1_156645551_156645913,0.0445
chr1_15664580_15664866,0.0814
chr1_156663993_156664153,0.0336
chr1_15666999_15667145,0.0459
chr1_156805999_156806129,0.025
chr1_156895977_156896091,0.1252
chr1_157076072_157076782,0.054
chr1_157082632_157083078,0.0256
chr1_157106691_157107326,0.1161
chr1_157124774_157125221,0.0501
chr1_157249264_157249609,0.0241
chr1_15738146_15738632,0.0273
chr1_15738661_15738986,0.0229
chr1_15742467_15743324,0.0658
chr1_15786440_15786713,0.0443
chr1_157938818_157938961,0.0236
chr1_157964633_157965029,0.1163
chr1_157980631_157980890,0.089
chr1_157989414_157989935,0.1237
chr1_158147244_158147839,0.0402
chr1_158779760_158780042,0.0236
chr1_158942717_158942925,0.0262
chr1_158970513_158970716,0.0681
chr1_15946733_15946892,0.0254
chr1_159798443_159799254,0.0328
chr1_159819832_159820037,0.0236
chr1_159851477_159851987,0.1356
chr1_159859603_159860031,0.1218
chr1_159880076_159880706,0.0322
chr1_159892447_159892988,0.1618
chr1_159907968_159908165,0.0268
chr1_159914077_159914586,0.0241
chr1_16007283_16007579,0.0842
chr1_160087563_160087915,0.0265
chr1_160345693_160345986,0.1309
chr1_160377718_160378261,0.0478
chr1_16087189_16087372,0.0357
chr1_16125579_16125747,0.0352
chr1_161352257_161352597,0.0565
chr1_161359666_161360218,0.1688
chr1_161500608_161500899,0.1183
chr1_161582212_161582506,0.1395
chr1_16176617_16176801,0.0255
chr1_161973588_161973892,0.0432
chr1_16212759_16213091,0.0638
chr1_162508612_162508929,0.0368
chr1_162511455_162511984,0.042
chr1_16276028_16276482,0.0311
chr1_162954567_162954830,0.0259
chr1_163005587_163006022,0.0799
chr1_16339773_16339933,0.1001
chr1_16342592_16343008,0.0241
chr1_16366462_16366839,0.0415
chr1_163844797_163845064,0.0301
chr1_16401814_16401932,0.034
chr1_164717528_164717907,0.0513
chr1_164734934_164735098,0.0257
chr1_16499761_16499895,0.0525
chr1_16502532_16502678,0.0359
chr1_16508402_16508642,0.0659
chr1_165797615_165798367,0.1158
chr1_167416859_167417570,0.0682
chr1_167423404_167424221,0.0291
chr1_167434195_167434584,0.0233
chr1_167442775_167443139,0.0278
chr1_167485764_167486128,0.0259
chr1_167486210_167486705,0.0259
chr1_167683554_167683813,0.0606
chr1_167766380_167766616,0.0857
chr1_168149052_168149361,0.0311
chr1_16826315_16826438,0.1245
chr1_168368318_168368620,0.0552
chr1_168440429_168440721,0.0309
chr1_169071998_169072131,0.0388
chr1_17023723_17023998,0.0397
chr1_17027024_17027386,0.0419
chr1_170635008_170635144,0.0292
chr1_170677232_170677374,0.0277
chr1_171255417_171255820,0.0302
chr1_1714020_1714715,0.0598
chr1_171407653_171408026,0.0654
chr1_171712214_171712716,0.0305
chr1_172150675_172151005,0.0662
chr1_172291507_172291926,0.0612
chr1_17231253_17231704,0.0919
