name_P,Ctcf_P
chr1_1166629_1167729,10.988021
chr1_1284630_1285730,8.001963
chr1_1310775_1311875,6.5563835
chr1_1333902_1335002,6.9836345
chr1_1334608_1335708,6.9836345
chr1_1446531_1447631,3.7984
chr1_1509355_1510455,9.678233
chr1_1589786_1590886,7.647136
chr1_1590373_1591473,9.241564
chr1_1624067_1625167,7.524879
chr1_1654951_1656051,7.318869
chr1_1655666_1656766,8.301924
chr1_1711796_1712896,1.5657020000000001
chr1_1980909_1982009,10.350525
chr1_2143913_2145013,11.748914
chr1_2144059_2145159,11.748914
chr1_2345136_2346236,20.792920000000002
chr1_2461584_2462684,1.929477
chr1_2476904_2478004,1.929477
chr1_2486078_2487178,5.2979315
chr1_2488370_2489470,1.929477
chr1_2718186_2719286,12.399737
chr1_3369990_3371090,17.183270500000003
chr1_568756_569856,9.554583000000001
chr1_713150_714250,9.526147
chr1_713906_715006,9.526147
chr1_839214_840314,9.927529
chr1_856296_857396,7.826646
chr1_91005_92105,6.861275999999999
chr1_954503_955603,8.922377000000001
chr1_998568_999668,13.619413
