name_E,H3k4me2_E,DNaseI_E,H3k4me3_E,H3k27me3_E,Ctcf_E,H3k4me1_E,H3k79me2_E,H3k27ac_E,H4k20me1_E,H3k9ac_E,Smc3_E,H3k36me3_E
chr1_1005293_1005547,10.081361,0.5019,6.659984,0.0,0.0,5.576514,0.0,3.317273,1.760547,6.708567,0.0,0.0
chr1_1014834_1015095,12.54675,0.2122,8.743611999999999,0.0,0.0,8.565114999999999,0.0,5.541582,1.760547,10.025632,0.0,0.0
chr1_1093610_1093958,23.484675,0.5457,16.408804999999994,0.0,0.0,4.701251,0.0,19.339045,1.790919,17.527932,0.0,0.0
chr1_1136075_1136463,8.915052000000003,0.306,7.490245,0.0,0.0,6.0690870000000015,0.0,0.0,1.724152,8.893289,0.0,0.0
chr1_1136667_1137146,10.085157,0.306,7.490245,0.0,0.0,0.0,0.0,11.173539,1.724152,9.573669,0.0,0.0
chr1_1143531_1144198,11.023523,0.2484,0.0,0.0,0.0,9.185646,0.0,0.0,1.724152,4.7627415000000015,0.0,0.0
chr1_1368471_1368786,9.75221,0.4913,6.211463,0.0,0.0,8.016117,0.0,10.518966,0.0,5.306358,0.0,0.0
chr1_1714020_1714715,17.686485,0.1271,11.384598,0.0,0.0,10.079697,8.357634,13.864192,2.2242610000000003,13.597508,0.0,0.0
chr1_1814762_1815124,10.880832,0.0688,0.0,0.0,0.0,12.335543,6.830738,0.0,5.4138150000000005,0.0,0.0,3.396503
chr1_1840449_1840835,10.177474,0.5564,7.98103,0.0,16.971951,0.0,0.0,12.2823025,2.2242610000000003,7.715367999999999,34.062909999999995,0.0
chr1_2162325_2162996,19.025737,0.0451,12.866105,0.0,5.0605,6.4402025,8.529383000000001,8.717087,2.2242610000000003,11.057443,0.0,2.23002
chr1_2221868_2222548,8.814962,0.0786,9.8616045,0.0,0.0,5.24563,8.529383000000001,4.591169,2.2242610000000003,3.881379,0.0,1.765721
chr1_2478276_2478817,11.259093,0.5955,9.689468,0.0,11.432335000000002,9.738202,3.574066,10.147254,2.2242610000000003,7.552408,26.26128,0.0
chr1_2574343_2574764,11.530999999999999,0.5356,7.6689729999999985,0.0,7.275813,0.0,6.020896,11.87657,2.2242610000000003,11.792699,13.04908,0.0
chr1_3229711_3230157,4.642398999999998,0.1687,0.0,2.217088,0.0,8.911389,0.0,7.977086999999999,2.055661,3.55625,0.0,0.0
chr1_3231556_3231634,1.5699610000000002,0.0,0.0,2.217088,0.0,0.0,0.0,0.0,2.055661,0.0,0.0,0.0
chr1_3232812_3232866,1.5699610000000002,0.0,0.0,2.217088,0.0,0.0,0.0,0.0,2.055661,0.0,0.0,0.0
chr1_3233109_3233475,1.5699610000000002,0.0,0.0,2.217088,0.0,0.0,0.0,0.0,2.055661,0.0,0.0,0.0
chr1_3237165_3237518,1.5699610000000002,0.0,0.0,2.217088,30.479798,0.0,0.0,0.0,2.055661,0.0,0.0,0.0
chr1_3634737_3634863,6.966887,0.2995,0.0,2.576759,0.0,0.0,0.0,0.0,2.055661,0.0,0.0,0.0
chr1_3817648_3818071,24.747732,0.3205,19.243308,1.952494,5.2409,0.0,13.488901,32.136618,2.055661,22.951979,5.70897,2.796215
chr1_6053603_6054107,19.226936,0.6675,13.799942,0.0,4.3176605000000015,6.283515,3.2254080000000003,9.297016,1.988155,6.1697305,0.0,2.2770040000000003
chr1_6054896_6055025,19.226936,0.0,13.799942,0.0,2.130375,6.283515,3.2254080000000003,9.297016,1.988155,6.1697305,0.0,5.354514999999999
chr1_6321567_6321961,6.167744,0.3018,10.974215,1.995316,0.0,1.7635580000000002,0.0,0.0,1.988155,0.0,0.0,0.0
chr1_6336471_6336830,10.106183,0.102,0.0,0.0,0.0,6.374942,0.0,0.0,1.988155,0.0,0.0,0.0
chr1_6373523_6373899,8.368442,0.0405,0.0,0.0,0.0,7.725171,0.0,0.0,1.988155,0.0,0.0,1.843542
chr1_6661008_6661639,30.671713,0.1536,21.292933,0.0,5.66175,6.52985,18.194181,41.939202,1.988155,30.840747,3.4435,3.693885
chr1_858256_858648,4.68985,0.12125,0.0,4.240943,6.2932835,2.578462,0.0,0.0,3.317241000000001,0.0,0.0,0.0
chr1_956563_956812,7.091784,0.4513,6.701494,0.0,0.0,6.040724,4.3151980000000005,0.0,2.289942,10.202546,0.0,0.0
chr1_1060905_1061095,0.0,0.0369,0.0,0.0,0.0,0.0,0.0,0.0,1.823085,0.0,0.0,0.0
chr1_1063914_1064111,0.0,0.0298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_1173386_1173736,0.0,0.0893,0.0,0.0,0.0,0.0,0.0,0.0,1.724152,0.0,0.0,2.430067
chr1_1952050_1952360,0.0,0.1249,0.0,3.351421,0.0,0.0,0.0,0.0,2.2242610000000003,0.0,0.0,0.0
chr1_1978731_1978937,0.0,0.0269,0.0,3.351421,14.558497,0.0,0.0,0.0,2.2242610000000003,0.0,0.0,0.0
chr1_2171824_2171946,0.0,0.0315,0.0,0.0,2.194973,3.983068,8.529383000000001,0.0,2.2242610000000003,0.0,0.0,2.23002
chr1_2246556_2246763,0.0,0.4334,6.873958999999998,3.366875,18.488409,0.0,0.0,0.0,2.2242610000000003,3.709572,7.24949,1.765721
chr1_2254081_2254230,0.0,0.0374,0.0,3.366875,0.0,0.0,0.0,0.0,2.2242610000000003,0.0,0.0,0.0
chr1_2406489_2406881,0.0,0.0943,0.0,2.042338,0.0,0.0,0.0,0.0,2.2242610000000003,0.0,0.0,0.0
chr1_2509702_2510198,0.0,0.1356,0.0,0.0,5.0059140000000015,4.622257,0.0,0.0,2.2242610000000003,0.0,0.0,0.0
chr1_3077832_3078221,0.0,0.0276,0.0,2.217088,0.0,0.0,0.0,0.0,2.055661,0.0,0.0,0.0
chr1_3086923_3087330,0.0,0.0521,0.0,2.217088,0.0,0.0,0.0,0.0,2.055661,0.0,0.0,0.0
chr1_3133891_3134283,0.0,0.0261,0.0,2.217088,0.0,0.0,0.0,0.0,2.055661,0.0,0.0,0.0
chr1_3309990_3310261,0.0,0.0283,0.0,7.4335914999999995,0.0,0.0,0.0,0.0,2.055661,0.0,0.0,0.0
chr1_3374928_3375314,0.0,0.0258,0.0,2.226734,0.0,0.0,0.0,0.0,2.055661,0.0,0.0,0.0
chr1_3420761_3421065,0.0,0.0266,0.0,2.226734,0.0,0.0,0.0,0.0,2.055661,0.0,0.0,0.0
chr1_3459907_3460197,0.0,0.051,0.0,2.226734,0.0,0.0,0.0,0.0,2.055661,0.0,0.0,0.0
chr1_3463934_3464260,0.0,0.0405,0.0,2.226734,0.0,0.0,0.0,0.0,2.055661,0.0,0.0,0.0
chr1_3620035_3620325,0.0,0.0498,0.0,2.576759,0.0,0.0,0.0,0.0,2.055661,0.0,0.0,0.0
chr1_6221566_6221669,0.0,0.1493,0.0,2.859793,0.0,0.0,0.0,0.0,1.988155,0.0,0.0,0.0
chr1_6566323_6566594,0.0,0.0277,0.0,3.3908120000000004,0.0,0.0,0.0,0.0,1.988155,0.0,0.0,0.0
chr1_7531062_7531540,0.0,0.0246,0.0,2.106785,0.0,0.0,0.0,0.0,1.988155,0.0,0.0,0.0
chr1_941791_942135,0.0,0.0269,0.0,0.0,0.0,8.2778725,0.0,0.0,0.0,0.0,0.0,0.0
chr1_2140151_2140337,0.0,0.0,4.34665,0.0,0.0,0.0,0.0,5.427852,2.2242610000000003,0.0,0.0,0.0
chr1_2059932_2059994,0.0,0.0,0.0,3.351421,0.0,0.0,0.0,0.0,2.2242610000000003,0.0,0.0,0.0
chr1_2082729_2083012,0.0,0.0,0.0,3.351421,0.0,0.0,0.0,0.0,2.2242610000000003,0.0,0.0,0.0
chr1_2253622_2253773,0.0,0.0,0.0,3.366875,0.0,0.0,0.0,0.0,2.2242610000000003,0.0,0.0,0.0
chr1_2501788_2502413,0.0,0.0,0.0,4.248009,0.0,0.0,0.0,0.0,2.2242610000000003,0.0,0.0,0.0
chr1_2505035_2505361,0.0,0.0,0.0,4.4318019999999985,0.0,0.0,0.0,0.0,2.2242610000000003,0.0,0.0,0.0
chr1_2989176_2989511,0.0,0.0,0.0,2.10473,0.0,0.0,0.0,0.0,2.055661,0.0,0.0,0.0
