name_E,H3k9ac_E,DNaseI_E,H3k4me3_E,H3k27ac_E,H3k36me3_E,Ctcf_E,H3k79me2_E,H4k20me1_E,H3k4me1_E,H3k27me3_E,H3k4me2_E
chr1_1093610_1093958,12.255932,224.0,9.151212,10.401612,0.0,0.0,0.0,0.0,5.8247695,0.0,18.261287
chr1_1840449_1840835,17.962858999999995,397.0,11.402314,12.433658,0.0,19.795184,0.0,0.0,10.007417,0.0,13.622684
chr1_2162325_2162996,11.375777,45.0,26.429499,6.495968,0.0,0.0,14.711112,2.606818,7.865108,0.0,23.679828
chr1_2221868_2222548,4.8427440000000015,160.0,11.139065,7.525216,1.989283,0.0,14.711112,1.813531,8.334714,0.0,11.875347
chr1_2574343_2574764,12.315353,230.0,20.201209,10.784513,0.0,0.0,3.905311,0.0,7.778202,0.0,21.795871
chr1_3620035_3620325,1.605988,113.0,3.3039620000000003,4.4590190000000005,0.0,0.0,0.0,1.280127,11.583735,0.0,7.926885
chr1_3634737_3634863,1.605988,90.0,0.0,0.0,0.0,0.0,0.0,1.280127,9.822808,0.0,8.571064999999999
chr1_3817648_3818071,8.293901,199.5,32.91911,8.415736,0.0,0.0,11.075554,1.280127,0.0,0.0,15.985755
chr1_4729528_4729775,5.873883,0.0,0.0,10.807212,0.0,0.0,4.562551,0.0,11.170538,0.0,0.0
chr1_6053603_6054107,7.444539,39.0,24.206188,11.030444,2.292403,0.0,2.955243,1.497946,4.2267535,0.0,15.889904
chr1_6360191_6360625,10.358091,21.0,0.0,12.517195,2.971413,0.0,5.2318120000000015,1.497946,10.813327,0.0,6.00054
chr1_6362597_6362955,8.843621,101.0,0.0,12.517195,2.971413,0.0,5.2318120000000015,1.497946,10.813327,0.0,6.00054
chr1_6661008_6661639,31.699246,186.0,52.030006,30.890133,3.67772,0.0,19.942844,3.120926,0.0,0.0,19.060279
chr1_7461964_7462325,9.272261,269.5,0.0,8.53226,0.0,0.0,0.0,0.0,4.4981230000000005,0.0,3.022176
chr1_7531062_7531540,8.148700999999999,134.0,0.0,8.2812,0.0,0.0,0.0,0.0,13.326872,2.074594,7.84507
chr1_956563_956812,6.883292,118.0,14.810337,8.660184,2.756271,0.0,4.339132,0.0,6.328353,0.0,16.584336999999998
chr1_1005293_1005547,0.0,52.0,1.7577349999999998,0.0,0.0,0.0,0.0,0.0,6.480862,0.0,9.141124
chr1_1014834_1015095,0.0,242.0,0.0,8.551219999999999,0.0,0.0,0.0,0.0,9.80284,0.0,11.511534
chr1_1136075_1136463,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,2.026313,0.0,0.0
chr1_1136667_1137146,0.0,141.5,4.047574,0.0,0.0,0.0,0.0,0.0,2.026313,2.27153,13.276305
chr1_1143531_1144198,0.0,186.5,9.652565,0.0,0.0,0.0,0.0,1.877095,5.157723000000001,2.27153,12.143559
chr1_1173386_1173736,0.0,183.5,4.125555,9.135154,0.0,0.0,4.813711,1.877095,12.013673,0.0,11.073388
chr1_1295535_1296332,0.0,222.0,0.0,3.5122760000000004,0.0,0.0,0.0,0.0,14.155164,0.0,5.868874
chr1_1368471_1368786,0.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0934979999999985,0.0,12.385917
chr1_1714020_1714715,0.0,37.0,0.0,0.0,3.294818,0.0,12.995709,2.9860900000000004,6.975817,0.0,11.887744
chr1_2171824_2171946,0.0,80.0,0.0,8.225429,2.253573,0.0,14.711112,2.606818,7.865108,0.0,5.2206769999999985
chr1_2172142_2172385,0.0,35.0,0.0,0.0,2.253573,0.0,14.711112,2.606818,7.865108,0.0,5.2206769999999985
chr1_2177615_2177829,0.0,33.0,10.145918,12.240572,2.253573,0.0,14.711112,2.606818,5.877379,0.0,11.411393
chr1_2230678_2230895,0.0,91.5,9.854233,5.130732,1.989283,0.0,14.711112,1.813531,7.341680999999999,0.0,9.591371
chr1_2231691_2232185,0.0,40.0,0.0,0.0,1.989283,0.0,14.711112,1.813531,7.341680999999999,0.0,9.591371
chr1_2246556_2246763,0.0,205.0,10.392746,0.0,1.989283,17.975032000000006,0.0,1.813531,0.0,2.138504,10.143705
chr1_2253622_2253773,0.0,130.0,0.0,0.0,0.0,0.0,0.0,1.813531,4.847819,4.2990315,8.941185
chr1_2254081_2254230,0.0,73.0,0.0,0.0,0.0,0.0,0.0,1.813531,4.847819,4.300585,0.0
chr1_2406489_2406881,0.0,77.0,0.0,0.0,2.642078,0.0,5.308518,2.768666,3.015828,0.0,0.0
chr1_2478276_2478817,0.0,218.0,11.49524,0.0,0.0,0.0,0.0,0.0,5.743967,0.0,8.943832
chr1_2509702_2510198,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,1.676668,0.0,11.346416
chr1_2989176_2989511,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.080329,0.0
chr1_3077832_3078221,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_3086923_3087330,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_3133891_3134283,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_3136013_3136207,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_3229711_3230157,0.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,6.451877,0.0,0.0
chr1_3237165_3237518,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_3459907_3460197,0.0,142.0,8.345127,0.0,0.0,0.0,0.0,1.280127,8.934811999999997,2.484446,8.801552000000003
chr1_3463934_3464260,0.0,108.0,0.0,0.0,0.0,0.0,0.0,1.280127,10.143634,2.484446,8.399295
chr1_3581269_3581645,0.0,37.0,0.0,0.0,0.0,0.0,0.0,1.280127,6.95482,0.0,7.374991
chr1_6230950_6231173,0.0,42.0,0.0,0.0,0.0,0.0,0.0,1.497946,6.153263,2.987409,0.0
chr1_6321567_6321961,0.0,32.0,10.749264,0.0,2.971413,0.0,5.2318120000000015,1.497946,6.756004000000001,0.0,10.359495
chr1_7359415_7359679,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,6.571542,0.0,10.909635
chr1_7538871_7539273,0.0,21.5,0.0,0.0,0.0,0.0,0.0,1.813717,2.839967,2.074594,0.0
chr1_7551468_7551846,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7056770000000006,2.074594,7.107096
chr1_918449_918555,0.0,38.0,0.0,0.0,0.0,0.0,0.0,1.5585129999999998,0.0,6.125916,0.0
chr1_941791_942135,0.0,38.5,0.0,0.0,0.0,0.0,0.0,0.0,2.9162220000000003,2.993231,0.0
chr1_6054896_6055025,0.0,0.0,24.206188,0.0,0.0,0.0,2.955243,1.497946,4.2267535,0.0,15.889904
chr1_6359789_6360186,0.0,0.0,0.0,12.517195,2.971413,0.0,5.2318120000000015,1.497946,10.813327,0.0,0.0
chr1_7327634_7328033,0.0,0.0,0.0,12.539114,0.0,0.0,0.0,0.0,6.812541,0.0,0.0
chr1_1772108_1772256,0.0,0.0,0.0,0.0,3.294818,0.0,12.995709,2.9860900000000004,1.859698,0.0,0.0
chr1_1793829_1793862,0.0,0.0,0.0,0.0,3.294818,0.0,12.995709,2.9860900000000004,0.0,0.0,0.0
chr1_1814762_1815124,0.0,0.0,0.0,0.0,3.294818,0.0,12.995709,2.9860900000000004,0.0,0.0,0.0
chr1_2082729_2083012,0.0,0.0,0.0,0.0,2.03579,0.0,0.0,1.559214,0.0,0.0,0.0
chr1_2190530_2190674,0.0,0.0,0.0,0.0,2.313484,0.0,14.711112,2.606818,4.466438,0.0,0.0
